FacilityType,LoanID,BorrowerID,CounterPartyID,FacilityID,DealID,DealName,BorrowerName,BranchCode,LoanType,PricingOption,LoanPurpose,ContractID,EffectiveDate,RepriceDate,ExpiryDate,MaturityDate,duration,CurrencyCode,LenderID,AccuredToDate,LegalName,FacilityLegalName,BaseRate,SpreadT,LoanAmount,PortfolioShare,LoanCurrency,ProfitCenterCode
LIBOR,0YD8T1T0,BID1T25,MAIULON179,CDLIBOR79,US0CE551T0,MAIULON179-USD,Borrower-352,B237,SBLC,SBLC_PERF,SBLC_PERF_20,US0CE551T0,3/23/2018,,,3/23/2019,1,USD,Lender-2,,Borrower-352 Inc,Borrower-352 Inc,0.033,0.021,116100.44,580502.2,USD,US0CE55
LIBOR,0YD8T1T1,BID1T2,MAIULON512,CDLIBOR1,US0CE551T1,MAIULON512-GB,Borrower-150,B196,LOAN,LIBOR,Loans,US0CE551T1,1/18/2018,,,1/18/2019,1,GB,Lender-11,,Borrower-150 Inc,Borrower-150 Inc,0.044,0.015,107988.93,539944.67,GB,US0CE55
REVOLVING,0YD8T1T2,BID1T9,MAIULON90,CDREVOLVING6,US0CE551T2,MAIULON90-EUR,Borrower-420,B165,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T2,1/11/2018,,,1/11/2019,1,EUR,Lender-30,,Borrower-420 Inc,Borrower-420 Inc,,0.015,119708.07,598540.35,EUR,US0CE55
TERM,0YD8T1T3,BID1T19,MAIULON512,CDTERM38,US0CE551T3,MAIULON512-GB,Borrower-83,B288,LOAN,US_SBLC,Loans,US0CE551T3,5/27/2018,,,5/27/2019,1,GB,Lender-1,,Borrower-83 Inc,Borrower-83 Inc,,0.021,106507.58,532537.9,GB,US0CE55
REVOLVING,0YD8T1T4,BID1T3,MAIULON254,CDREVOLVING6,US0CE551T4,MAIULON254-EUR,Borrower-455,B269,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_100_DEFAULT,US0CE551T4,5/12/2018,,,5/12/2019,1,EUR,Lender-42,,Borrower-455 Inc,Borrower-455 Inc,,0.015,114292.21,571461.03,EUR,US0CE55
REVOLVING,0YD8T1T5,BID1T23,MAIULON551,CDREVOLVING77,US0CE551T5,MAIULON551-USD,Borrower-470,B222,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T5,5/8/2018,,,5/8/2019,1,USD,Lender-42,,Borrower-470 Inc,Borrower-470 Inc,,0.015,111868.06,559340.32,USD,US0CE55
COMMITTED,0YD8T1T6,BID1T16,MAIULON360,CDCOMMITTED45,US0CE551T6,MAIULON360-GB,Borrower-58,B248,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_100_DEFAULT,US0CE551T6,3/22/2018,,,3/22/2019,1,GB,Lender-21,,Borrower-58 Inc,Borrower-58 Inc,,0.018,107546.4,537732.01,GB,US0CE55
LIBOR,0YD8T1T7,BID1T29,MAIULON33,CDLIBOR9,US0CE551T7,MAIULON33-EUR,Borrower-470,B142,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T7,2/28/2018,,,2/28/2019,1,EUR,Lender-30,,Borrower-470 Inc,Borrower-470 Inc,,0.023,104204.5,521022.51,EUR,US0CE55
REVOLVING,0YD8T1T8,BID1T9,MAIULON242,CDREVOLVING46,US0CE551T8,MAIULON242-GB,Borrower-367,B102,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T8,5/8/2018,,,5/8/2019,1,GB,Lender-30,,Borrower-367 Inc,Borrower-367 Inc,,0.015,113563.57,567817.86,GB,US0CE55
UNCOMMITTED,0YD8T1T9,BID1T7,MAIULON445,CDUNCOMMITTED79,US0CE551T9,MAIULON445-USD,Borrower-10,B128,SBLC,US_SBLC,SBLC_PERF_50_DEFAULT,US0CE551T9,6/11/2018,,,6/11/2019,1,USD,Lender-41,,Borrower-10 Inc,Borrower-10 Inc,,0.015,105228.72,526143.59,USD,US0CE55
TERM,0YD8T1T10,BID1T19,MAIULON253,CDTERM32,US0CE551T10,MAIULON253-EUR,Borrower-142,B264,LOAN,COST_OF_FUND,Loans,US0CE551T10,2/2/2018,,,2/2/2019,1,EUR,Lender-19,,Borrower-142 Inc,Borrower-142 Inc,,0.015,108946.16,544730.8,EUR,US0CE55
TERM,0YD8T1T11,BID1T26,MAIULON397,CDTERM67,US0CE551T11,MAIULON397-GB,Borrower-88,B111,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T11,1/2/2018,,,1/2/2019,1,GB,Lender-27,,Borrower-88 Inc,Borrower-88 Inc,,0.015,119568.07,597840.37,GB,US0CE55
LIBOR,0YD8T1T12,BID1T7,MAIULON311,CDLIBOR8,US0CE551T12,MAIULON311-EUR,Borrower-445,B139,SBLC,US_SBLC,SBLC_FINANCIAL_100_DEFAULT,US0CE551T12,1/4/2018,,,1/4/2019,1,EUR,Lender-1,,Borrower-445 Inc,Borrower-445 Inc,,0.015,113375.55,566877.74,EUR,US0CE55
UNCOMMITTED,0YD8T1T13,BID1T15,MAIULON298,CDUNCOMMITTED26,US0CE551T13,MAIULON298-GB,Borrower-455,B182,SBLC,SBLC_PERF,SBLC_FINANCIAL_20,US0CE551T13,3/31/2018,,,3/31/2019,1,GB,Lender-8,,Borrower-455 Inc,Borrower-455 Inc,,0.024,111695.35,558476.75,GB,US0CE55
REVOLVING,0YD8T1T14,BID1T20,MAIULON21,CDREVOLVING32,US0CE551T14,MAIULON21-EUR,Borrower-304,B120,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T14,5/14/2018,,,5/14/2019,1,EUR,Lender-12,,Borrower-304 Inc,Borrower-304 Inc,,0.021,103156.31,515781.53,EUR,US0CE55
TERM,0YD8T1T15,BID1T13,MAIULON70,CDTERM57,US0CE551T15,MAIULON70-GB,Borrower-483,B285,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T15,2/4/2018,,,2/4/2019,1,GB,Lender-39,,Borrower-483 Inc,Borrower-483 Inc,0.03,0.015,119466.28,597331.42,GB,US0CE55
REVOLVING,0YD8T1T16,BID1T7,MAIULON429,CDREVOLVING86,US0CE551T16,MAIULON429-EUR,Borrower-484,B274,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_20,US0CE551T16,1/21/2018,,,1/21/2019,1,EUR,Lender-4,,Borrower-484 Inc,Borrower-484 Inc,0.034,0.016,111250.92,556254.62,EUR,US0CE55
LIBOR,0YD8T1T17,BID1T8,MAIULON270,CDLIBOR65,US0CE551T17,MAIULON270-USD,Borrower-172,B213,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T17,4/13/2018,,,4/13/2019,1,USD,Lender-43,,Borrower-172 Inc,Borrower-172 Inc,0.053,0.015,110280.4,551401.99,USD,US0CE55
LIBOR,0YD8T1T18,BID1T4,MAIULON277,CDLIBOR29,US0CE551T18,MAIULON277-EUR,Borrower-16,B229,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T18,4/13/2018,,,4/13/2019,1,EUR,Lender-34,,Borrower-16 Inc,Borrower-16 Inc,0.036,0.02,112320.65,561603.27,EUR,US0CE55
TERM,0YD8T1T19,BID1T12,MAIULON250,CDTERM30,US0CE551T19,MAIULON250-GB,Borrower-196,B155,LOAN,FIXED,Loans,US0CE551T19,3/20/2018,,,3/20/2019,1,GB,Lender-25,,Borrower-196 Inc,Borrower-196 Inc,0.035,0.025,110880.75,554403.76,GB,US0CE55
